date,sub,FLOW,FLOW_lag1,FLOW_lag2,FLOW_lag3,TN,TN_lag1,TN_lag2,TN_lag3,TP,TP_lag1,TP_lag2,TP_lag3,PCP,PCP_lag1,PCP_lag2,PCP_lag3,wt,chl,Green,Red,Blue_Green,Red_NIR
2021-12-06,29,21.4,25.5,30.0,34.4,4.380841121495327,2.473674655047204,2.002314814814815,3.5327842377260983,0.006976895119418484,0.004507080610021786,0.004783950617283951,0.01944713608957795,0.0,0.0,0.0,0.5,7.3,5.9,0.0488520634475014,0.0503881807973048,0.94275389891066,1.00068304517045
2021-12-15,29,7.27,7.57,8.32,9.3,7.116383921748433,7.415357894221829,6.802550747863247,5.451015531660692,0.012083524377197003,0.003898796418611477,0.004507211538461538,0.005139884508164078,0.0,0.0,0.0,0.0,8.3,10.7,0.0300732259988073,0.0327201550387596,1.13897842350649,0.703415531889916
2021-12-20,29,6.72,6.77,6.87,7.0,8.404982363315696,8.54806061600744,7.4464930724028235,8.134920634920634,0.010368441358024689,0.012907571530171235,0.004346595503800743,0.005109126984126983,0.0,0.0,0.0,0.0,5.8,8.1,0.0468738349241998,0.0507357102751263,0.763924183871057,1.37345141505344
2022-01-04,29,5.74,5.72,5.7,5.67,9.779487675829138,10.542119917119917,11.675601039636126,10.24724018551179,0.004194089559943218,0.006940397565397566,0.004121994801819362,0.004919491802207851,0.0,0.0,0.0,0.0,4.0,7.3,0.0552420082071794,0.056291125449524,0.7723081065979944,0.8790432188515815
2022-01-10,29,5.71,5.73,5.77,5.81,10.276804825841602,9.655161269471915,10.009467873419347,9.402690125581692,0.016155056106894983,0.009352175037166309,0.006659605879709866,0.005338815579779436,0.0,0.0,0.0,0.0,3.4,9.1,0.0330792106373997,0.0372321865766146,0.612189186033232,0.907792712286953
2022-01-18,29,5.71,5.69,5.69,5.74,11.695693066095867,11.696120549371866,11.980895658400051,11.049812879081172,0.012405137186222999,0.009865423419904965,0.010048493132851657,0.011594237966189185,0.0,0.0,0.0,0.0,3.6,7.5,0.0480401880965749,0.0527423778775968,0.772288903510307,0.827117150674647
2022-01-24,29,5.71,5.68,5.74,5.75,11.006518777972367,11.105405581637976,11.352271260807845,11.553945249597422,0.010824090289939676,0.014997391757955138,0.011634565750419407,0.00996376811594203,0.0,0.0,0.0,0.0,6.0,13.7,0.0637697487277353,0.0649985718829516,0.825204161900114,0.906396484901775
2022-02-03,29,5.42,5.36,5.38,5.5,19.368422850895175,18.008913764510776,19.38334710174859,16.477272727272727,0.01584495011616783,0.009781820066334991,0.03829340492909266,0.0845959595959596,0.0,0.0,0.0,0.0,5.6,11.4,0.051098571024335,0.0567209818902093,0.838638361796993,0.900038744781568
2022-02-09,29,5.7,5.6,5.53,5.5,14.822936972059777,16.038359788359788,17.64366083986337,18.11868686868687,0.02294509421702404,0.053530092592592594,0.015362333400308082,0.015256734006734005,0.0,0.0,0.0,0.0,4.7,10.3,0.0640391190853267,0.0694021693442443,0.8101323675290235,0.884460019375868
2022-02-15,29,5.62,5.67,5.61,5.65,14.889778568604191,15.983245149911815,15.51462335776061,15.03605375286791,0.015816528272044283,0.012696779672088312,0.01429738562091503,0.00899295313012127,0.0,0.0,0.0,0.0,6.8,14.4,0.0872978533333333,0.0914760566666666,0.659993367913402,0.884039291580293
2022-02-21,29,5.63,5.62,5.65,5.64,14.883889217814618,12.665579280347963,12.332022287774498,14.52915681639086,0.008901552529438852,0.01017365229998682,0.009484595214683708,0.011122603099553454,0.0,0.0,0.0,0.0,4.4,7.7,0.0691485699003329,0.0727810134184594,0.8495752125797044,0.939553960036303
2022-03-02,29,5.87,5.78,5.71,5.79,13.979588617578395,13.896898628732536,14.574009210611662,13.772948250495745,0.017686447094453907,0.026432141484044595,0.014918596354673411,0.018670440734344016,0.0,0.0,0.0,0.0,8.0,15.9,0.0563898823155216,0.0590250890585241,0.789602009758884,0.890655671126238
2022-03-07,29,5.76,5.81,5.84,5.89,14.70871913580247,13.506406578695735,12.703735413495687,12.536942715210966,0.01022778420781893,0.010916682603429593,0.00975076103500761,0.010984562661133119,0.0,0.0,0.0,0.0,7.7,13.6,0.0914475190839694,0.0977887706743002,0.7886736662958924,0.903197311375727
2022-04-04,29,11.6,13.2,15.2,17.6,6.176165389527458,4.62962962962963,3.94432261208577,3.958859427609427,0.008291427203065135,0.005392466329966331,0.006807383040935673,0.004044349747474747,0.0,0.0,0.0,0.0,14.5,29.9,0.0711594465648854,0.0759427496819337,0.73884014625799,0.8136807614714026
